10#-2.165,-2.073,101.963#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
11#-2.003,-2.071,81.018#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
12#-1.814,-2.13,89.111#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
13#-1.619,-2.172,107.521#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
14#-1.389,-2.155,102.084#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
15#-1.119,-2.124,85.742#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
16#-0.864,-2.158,83.497#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
17#-0.613,-2.207,97.652#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
18#-0.352,-2.193,101.012#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
19#-0.072,-2.157,86.94#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
