10#2.353,1.492,23.99#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
11#2.357,1.495,50.78#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
12#2.362,1.491,52.482#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
13#2.371,1.484,125.018#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
14#2.389,1.476,129.171#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
15#2.4,1.467,113.155#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
16#2.394,1.458,128.231#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
17#2.392,1.458,212.171#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
18#2.391,1.465,282.75#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
19#2.393,1.47,346.851#0.392,-1.277;0.375,-0.097;0.641,-0.146;-0.176,-0.835;0.834,-1.129;2.025,1.007;1.418,1.784;2.39,-1.5;0.395,-0.247;-2.225,-0.674;0.98,-0.018;1.01,-0.374;#2.259,0.669;-0.847,-1.414;-1.668,1.07;-0.945,-0.134;0.765,0.887;-2.24,0.402;-2.067,-0.548;1.213,0.629;-1.279,-0.394;-1.062,0.852;1.033,-0.151;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
