arguments: 45 26 1 0.348391 -0.456522 -0.138622 -0.0564653
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.36, -0.06, 0.12, -0.03, 0.12, -0.06, -0.06, -0.39, -0.06, -0.06, 0.03, -0.23, 0.03, -0.06, -0.42, -0.06, -0.43, -0.06, -0.06, -0.44, -0.06, -0.06, 
>  R  R  ^  L  l  l  l  >  R  R  ^  L  >  R  <  ^  L  L  l  <  >  R  R  R  ^  L  L  
R  R  r  r  v  l  l  <  R  R  R  ^  L  R  ^  L  ^  L  <  <  L  R  R  R  R  ^  L  L  
R  R  >  >  <  <  <  <  R  R  ^  R  R  R  ^  L  R  ^  L  L  <  R  R  ^  R  R  ^  L  
>  >  R  R  ^  L  L  L  <  R  R  R  ^  L  L  R  R  ^  L  L  L  l  l  R  R  ^  ^  ^  
>  R  R  R  ^  L  L  L  L  <  L  R  r  v  l  r  r  v  R  ^  L  <  l  l  R  ^  L  ^  
R  R  R  R  ^  L  L  L  L  L  L  l  l  l  r  r  r  r  R  ^  ^  L  <  <  R  ^  L  ^  
R  R  ^  L  L  ^  L  L  L  L  <  <  <  <  >  >  >  >  R  ^  R  ^  L  <  ^  ^  ^  L  
R  ^  R  ^  L  R  ^  L  L  L  L  <  <  l  R  R  >  R  ^  R  ^  ^  L  L  <  L  ^  ^  
R  ^  ^  ^  ^  ^  L  ^  L  L  L  L  <  <  R  >  R  R  R  ^  R  R  ^  L  L  <  ^  L  
Correct actions (%) : 13.21
Avg angular diffs   : 90.85
