./28_9%21_2.out:Avg angular diffs   : 114.38
./27_10%39_4.out:Avg angular diffs   : 90.41
./35_20%17_2.out:Avg angular diffs   : 91.86
./46_30%37_2.out:Avg angular diffs   : 86.25
./26_10%8_1.out:Avg angular diffs   : 81.59
./27_30%29_3.out:Avg angular diffs   : 85.33
./35_10%19_3.out:Avg angular diffs   : 98.79
./28_5%10_1.out:Avg angular diffs   : 100.45
./48_30%29_3.out:Avg angular diffs   : 111.45
./36_11%22_4.out:Avg angular diffs   : 73.12
./28_9%17_2.out:Avg angular diffs   : 81.77
./48_37%38_2.out:Avg angular diffs   : 90.00
./32_22%12_4.out:Avg angular diffs   : 88.54
./36_5%21_4.out:Avg angular diffs   : 107.34
./44_36%26_1.out:Avg angular diffs   : 72.13
./36_16%5_1.out:Avg angular diffs   : 77.27
./54_40%31_4.out:Avg angular diffs   : 94.68
./39_20%9_3.out:Avg angular diffs   : 103.70
./27_17%19_2.out:Avg angular diffs   : 95.00
./63_16%15_1.out:Avg angular diffs   : 69.51
./28_25%32_3.out:Avg angular diffs   : 93.18
./26_26%30_3.out:Avg angular diffs   : 84.90
./27_39%12_1.out:Avg angular diffs   : 93.09
./48_29%30_3.out:Avg angular diffs   : 81.00
./61_15%7_2.out:Avg angular diffs   : 75.09
./26_9%12_1.out:Avg angular diffs   : 90.00
./32_11%12_4.out:Avg angular diffs   : 95.12
./39_6%15_1.out:Avg angular diffs   : 112.50
./26_12%9_1.out:Avg angular diffs   : 76.36
./26_29%27_3.out:Avg angular diffs   : 75.35
./28_37%42_4.out:Avg angular diffs   : 73.26
./64_15%5_1.out:Avg angular diffs   : 80.22
./26_15%18_2.out:Avg angular diffs   : 88.06
./46_26%25_1.out:Avg angular diffs   : 73.98
./48_27%38_2.out:Avg angular diffs   : 93.00
./61_10%9_3.out:Avg angular diffs   : 115.14
./37_17%10_3.out:Avg angular diffs   : 98.74
./54_41%32_4.out:Avg angular diffs   : 92.97
./28_7%9_1.out:Avg angular diffs   : 87.38
./48_35%36_1.out:Avg angular diffs   : 75.98
./32_6%16_1.out:Avg angular diffs   : 83.22
./45_26%35_1.out:Avg angular diffs   : 97.73
./45_29%39_3.out:Avg angular diffs   : 92.59
./44_31%32_4.out:Avg angular diffs   : 69.35
./48_42%32_4.out:Avg angular diffs   : 76.55
./31_11%12_4.out:Avg angular diffs   : 73.88
./26_38%37_4.out:Avg angular diffs   : 78.88
./34_9%20_3.out:Avg angular diffs   : 77.34
./26_17%37_4.out:Avg angular diffs   : 92.12
./37_15%16_1.out:Avg angular diffs   : 67.81
./31_21%20_3.out:Avg angular diffs   : 94.94
./61_21%11_4.out:Avg angular diffs   : 91.41
./26_8%9_1.out:Avg angular diffs   : 86.59
./32_20%9_3.out:Avg angular diffs   : 88.61
./28_11%10_1.out:Avg angular diffs   : 101.36
./64_6%15_1.out:Avg angular diffs   : 83.22
./38_20%9_3.out:Avg angular diffs   : 102.96
./44_30%39_3.out:Avg angular diffs   : 96.52
./44_31%41_4.out:Avg angular diffs   : 93.29
./27_8%12_1.out:Avg angular diffs   : 101.91
./63_15%6_1.out:Avg angular diffs   : 96.48
./28_15%19_2.out:Avg angular diffs   : 92.07
./59_41%32_4.out:Avg angular diffs   : 89.05
./27_28%29_3.out:Avg angular diffs   : 84.91
./44_41%32_4.out:Avg angular diffs   : 69.35
./48_35%25_1.out:Avg angular diffs   : 102.57
./44_32%41_4.out:Avg angular diffs   : 91.10
./26_21%19_2.out:Avg angular diffs   : 84.07
./28_30%25_3.out:Avg angular diffs   : 95.13
./63_19%9_3.out:Avg angular diffs   : 100.36
./27_8%7_1.out:Avg angular diffs   : 88.45
./61_9%10_3.out:Avg angular diffs   : 86.41
./36_20%9_3.out:Avg angular diffs   : 110.00
./39_5%15_1.out:Avg angular diffs   : 111.25
./38_15%6_1.out:Avg angular diffs   : 84.31
./26_15%38_4.out:Avg angular diffs   : 78.85
./37_11%21_4.out:Avg angular diffs   : 89.12
./26_5%9_1.out:Avg angular diffs   : 113.86
./36_9%20_3.out:Avg angular diffs   : 94.09
./28_39%36_4.out:Avg angular diffs   : 86.86
./47_39%29_3.out:Avg angular diffs   : 100.34
./47_26%35_1.out:Avg angular diffs   : 80.69
./26_31%27_3.out:Avg angular diffs   : 75.35
./45_40%29_3.out:Avg angular diffs   : 82.85
./44_30%40_3.out:Avg angular diffs   : 82.67
./47_31%32_4.out:Avg angular diffs   : 82.84
./28_19%15_2.out:Avg angular diffs   : 94.60
./43_36%37_2.out:Avg angular diffs   : 90.68
./36_15%6_1.out:Avg angular diffs   : 66.39
./28_9%10_1.out:Avg angular diffs   : 82.73
./54_40%30_3.out:Avg angular diffs   : 79.02
./34_21%12_4.out:Avg angular diffs   : 74.17
./32_19%9_3.out:Avg angular diffs   : 108.56
./27_8%10_1.out:Avg angular diffs   : 90.94
./43_40%39_3.out:Avg angular diffs   : 75.48
./37_16%6_1.out:Avg angular diffs   : 77.91
./33_10%9_3.out:Avg angular diffs   : 83.37
./42_40%29_3.out:Avg angular diffs   : 105.63
./35_6%21_4.out:Avg angular diffs   : 87.88
./31_6%5_1.out:Avg angular diffs   : 86.29
./39_11%21_4.out:Avg angular diffs   : 104.23
./48_32%41_4.out:Avg angular diffs   : 88.45
./43_35%32_4.out:Avg angular diffs   : 70.58
./64_21%21_4.out:Avg angular diffs   : 85.98
./27_25%39_4.out:Avg angular diffs   : 92.86
./59_41%31_4.out:Avg angular diffs   : 92.96
./26_5%6_1.out:Avg angular diffs   : 72.24
./47_38%27_2.out:Avg angular diffs   : 89.71
./31_21%11_4.out:Avg angular diffs   : 83.75
./33_15%16_1.out:Avg angular diffs   : 68.38
./37_16%5_1.out:Avg angular diffs   : 95.83
./38_15%5_1.out:Avg angular diffs   : 81.59
./35_19%10_3.out:Avg angular diffs   : 84.55
./27_25%41_4.out:Avg angular diffs   : 88.36
./31_21%10_3.out:Avg angular diffs   : 102.53
./56_37%36_1.out:Avg angular diffs   : 74.65
./26_29%31_3.out:Avg angular diffs   : 98.57
./39_12%21_4.out:Avg angular diffs   : 87.31
./28_39%42_4.out:Avg angular diffs   : 96.32
./35_5%6_1.out:Avg angular diffs   : 92.81
./36_19%20_3.out:Avg angular diffs   : 80.80
./28_10%8_1.out:Avg angular diffs   : 97.66
./39_19%9_3.out:Avg angular diffs   : 104.67
./31_22%21_4.out:Avg angular diffs   : 90.58
./46_30%40_3.out:Avg angular diffs   : 88.39
./33_16%5_1.out:Avg angular diffs   : 81.71
./34_6%5_1.out:Avg angular diffs   : 99.94
./26_7%21_2.out:Avg angular diffs   : 92.65
./26_12%8_1.out:Avg angular diffs   : 92.47
./32_9%19_3.out:Avg angular diffs   : 84.50
./26_28%27_3.out:Avg angular diffs   : 84.24
./46_39%30_3.out:Avg angular diffs   : 94.05
./28_12%6_1.out:Avg angular diffs   : 96.75
./32_20%10_3.out:Avg angular diffs   : 78.42
./28_35%37_4.out:Avg angular diffs   : 91.00
./26_9%5_1.out:Avg angular diffs   : 74.29
./46_40%29_3.out:Avg angular diffs   : 107.19
./27_25%15_2.out:Avg angular diffs   : 85.91
./48_41%32_4.out:Avg angular diffs   : 74.23
./61_15%6_1.out:Avg angular diffs   : 64.07
./38_9%19_3.out:Avg angular diffs   : 78.09
./48_32%30_3.out:Avg angular diffs   : 84.50
./27_26%25_3.out:Avg angular diffs   : 97.68
./28_8%25_3.out:Avg angular diffs   : 91.58
./43_30%29_3.out:Avg angular diffs   : 72.50
./26_9%18_2.out:Avg angular diffs   : 84.68
./54_30%40_3.out:Avg angular diffs   : 90.53
./44_25%37_2.out:Avg angular diffs   : 88.22
./63_21%11_4.out:Avg angular diffs   : 97.24
./43_29%30_3.out:Avg angular diffs   : 67.20
./39_9%20_3.out:Avg angular diffs   : 76.60
./46_40%30_3.out:Avg angular diffs   : 77.40
./28_25%30_3.out:Avg angular diffs   : 94.01
./26_18%15_2.out:Avg angular diffs   : 94.68
./37_19%10_3.out:Avg angular diffs   : 75.58
./42_29%30_3.out:Avg angular diffs   : 83.97
./43_41%32_4.out:Avg angular diffs   : 88.58
./47_37%38_2.out:Avg angular diffs   : 74.01
./27_12%8_1.out:Avg angular diffs   : 91.12
./26_12%6_1.out:Avg angular diffs   : 75.79
./26_7%17_2.out:Avg angular diffs   : 87.80
./48_30%25_1.out:Avg angular diffs   : 101.91
./42_36%35_1.out:Avg angular diffs   : 90.56
./35_5%15_1.out:Avg angular diffs   : 91.22
./54_25%35_1.out:Avg angular diffs   : 100.07
./54_36%26_1.out:Avg angular diffs   : 85.30
./44_38%37_2.out:Avg angular diffs   : 97.70
./48_37%28_2.out:Avg angular diffs   : 88.83
./59_40%29_3.out:Avg angular diffs   : 103.72
./38_16%15_1.out:Avg angular diffs   : 101.44
./27_28%8_1.out:Avg angular diffs   : 102.64
./45_25%36_1.out:Avg angular diffs   : 63.87
./44_32%31_4.out:Avg angular diffs   : 100.10
./43_35%41_4.out:Avg angular diffs   : 111.95
./42_40%39_3.out:Avg angular diffs   : 101.25
./63_6%5_1.out:Avg angular diffs   : 81.28
./33_9%20_3.out:Avg angular diffs   : 74.66
./27_10%12_1.out:Avg angular diffs   : 76.32
./31_20%10_3.out:Avg angular diffs   : 80.89
./61_5%7_2.out:Avg angular diffs   : 79.88
./56_36%35_1.out:Avg angular diffs   : 68.12
./27_5%7_1.out:Avg angular diffs   : 90.00
./45_25%26_1.out:Avg angular diffs   : 65.38
./59_36%26_1.out:Avg angular diffs   : 101.38
./43_36%35_1.out:Avg angular diffs   : 93.27
./28_31%25_3.out:Avg angular diffs   : 90.79
./61_11%12_4.out:Avg angular diffs   : 66.34
./28_11%8_1.out:Avg angular diffs   : 93.35
./28_42%37_4.out:Avg angular diffs   : 87.67
./35_5%16_1.out:Avg angular diffs   : 94.66
./42_26%35_1.out:Avg angular diffs   : 93.38
./35_12%11_4.out:Avg angular diffs   : 105.00
./28_32%29_3.out:Avg angular diffs   : 102.71
./26_9%38_4.out:Avg angular diffs   : 80.92
./48_38%37_2.out:Avg angular diffs   : 70.50
./27_28%10_1.out:Avg angular diffs   : 94.22
./28_42%35_4.out:Avg angular diffs   : 94.58
./39_15%16_1.out:Avg angular diffs   : 71.16
./36_16%15_1.out:Avg angular diffs   : 66.60
./31_5%16_1.out:Avg angular diffs   : 72.00
./26_9%41_4.out:Avg angular diffs   : 73.86
./26_21%17_2.out:Avg angular diffs   : 88.35
./43_35%25_1.out:Avg angular diffs   : 96.17
./54_39%29_3.out:Avg angular diffs   : 112.20
./27_7%12_1.out:Avg angular diffs   : 98.82
./54_35%36_1.out:Avg angular diffs   : 84.78
./48_31%42_4.out:Avg angular diffs   : 85.86
./39_9%17_2.out:Avg angular diffs   : 78.33
./56_41%31_4.out:Avg angular diffs   : 107.89
./48_32%31_4.out:Avg angular diffs   : 86.50
./64_20%9_3.out:Avg angular diffs   : 76.68
./44_25%36_1.out:Avg angular diffs   : 77.14
./54_30%29_3.out:Avg angular diffs   : 90.00
./26_6%12_1.out:Avg angular diffs   : 98.90
./54_41%35_1.out:Avg angular diffs   : 81.27
./46_36%25_1.out:Avg angular diffs   : 82.37
./36_20%19_3.out:Avg angular diffs   : 88.58
./61_9%19_3.out:Avg angular diffs   : 99.00
./28_12%5_1.out:Avg angular diffs   : 97.68
./56_37%40_3.out:Avg angular diffs   : 71.20
./43_36%25_1.out:Avg angular diffs   : 86.37
./32_12%21_4.out:Avg angular diffs   : 90.00
./26_18%17_2.out:Avg angular diffs   : 92.74
./36_20%17_2.out:Avg angular diffs   : 85.00
./59_32%41_4.out:Avg angular diffs   : 92.05
./44_40%30_3.out:Avg angular diffs   : 66.28
./59_35%26_1.out:Avg angular diffs   : 73.45
./26_25%28_3.out:Avg angular diffs   : 75.71
