arguments: 27 8 1 0.199632 0.400602 0.332831 -0.0669344
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 0.67, -0.07, -0.07, 0.70, 0.03, 0.13, 0.03, 0.73, -0.07, -0.07, -0.07, 0.77, -0.07, -0.07, 0.80, -0.07, 0.83, -0.07, -0.07, 0.86, -0.07, -0.07, 
r  r  v  l  r  r  v  l  >  >  ^  <  <  >  >  ^  <  <  R  ^  L  R  R  r  v  l  <  L  
>  >  <  <  >  r  r  v  l  R  ^  L  L  R  R  ^  L  L  R  ^  L  r  r  >  l  <  <  l  
R  R  ^  L  R  r  r  v  l  l  ^  L  L  R  R  ^  L  r  v  l  v  r  r  v  l  L  l  l  
R  R  ^  L  l  >  >  ^  <  <  L  ^  L  R  r  r  v  >  v  <  r  >  >  r  <  l  l  <  
R  r  r  v  l  R  R  ^  L  L  <  v  r  r  >  >  R  r  v  l  r  R  R  ^  L  <  l  <  
R  >  >  >  <  R  R  ^  L  L  L  r  v  l  r  R  ^  >  r  r  r  v  l  R  ^  L  <  L  
>  R  R  ^  L  L  l  r  v  l  L  >  >  <  >  R  <  R  r  >  >  <  <  <  L  L  L  <  
R  R  R  ^  L  L  <  >  v  <  >  R  ^  L  R  ^  L  >  >  R  R  ^  L  L  <  ^  L  L  
R  R  ^  L  R  ^  L  R  ^  L  R  ^  ^  R  ^  ^  ^  R  R  R  R  ^  L  L  L  <  ^  L  
R  ^  ^  R  ^  R  R  R  ^  L  L  L  R  ^  ^  ^  R  R  R  ^  L  L  ^  L  L  L  <  ^  
Correct actions (%) : 9.09
Avg angular diffs   : 88.14
