arguments: 47 26 1 -0.447075 -0.444847 0.0523677 -0.0557103
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 0.06, -0.06, -0.28, -0.38, -0.28, -0.06, -0.06, 0.07, -0.06, -0.06, -0.17, -0.15, -0.17, -0.06, 0.08, -0.06, 0.09, -0.06, -0.06, 0.09, -0.06, -0.06, 
R  ^  R  ^  L  <  ^  L  <  <  <  >  ^  <  >  R  <  >  L  <  r  R  R  R  ^  L  L  L  
^  R  ^  R  ^  L  L  ^  L  ^  L  R  ^  L  R  ^  L  R  ^  L  >  R  <  ^  R  ^  L  L  
^  ^  R  R  ^  L  L  R  ^  L  ^  L  L  ^  L  ^  R  ^  ^  ^  R  ^  L  <  L  R  ^  L  
^  ^  L  R  R  ^  L  R  R  ^  L  L  R  R  ^  L  R  R  ^  R  R  ^  L  L  <  L  R  ^  
R  ^  L  l  R  >  R  R  R  ^  L  l  l  l  L  ^  >  R  R  R  R  ^  L  ^  L  l  l  ^  
^  ^  L  <  R  R  R  R  ^  L  L  <  l  l  l  l  R  R  R  R  R  ^  ^  >  L  <  l  l  
^  ^  ^  L  L  R  ^  R  ^  ^  L  L  <  <  <  <  l  R  R  ^  L  L  R  R  ^  L  <  <  
^  ^  ^  L  l  R  R  ^  ^  ^  ^  L  L  L  L  r  v  r  R  r  r  v  l  R  R  ^  L  <  
^  ^  ^  L  <  R  ^  ^  ^  ^  L  R  ^  r  r  v  r  r  v  l  >  r  <  l  R  ^  L  L  
^  ^  ^  ^  L  <  l  ^  >  ^  <  l  r  r  >  r  r  >  v  <  R  ^  L  <  R  R  ^  L  
^  ^  ^  R  ^  L  <  l  R  ^  L  <  r  >  R  ^  >  R  ^  L  ^  R  ^  L  <  ^  L  ^  
^  R  ^  L  R  ^  L  <  ^  R  ^  L  >  R  ^  >  R  R  ^  ^  L  ^  L  ^  L  L  ^  ^  
R  ^  L  R  ^  R  ^  L  <  ^  L  ^  R  ^  >  R  R  R  ^  L  ^  L  ^  L  ^  L  L  L  
Total actions tested : 47
Correct actions (%) : 34.04
Avg angular diffs   : 58.40
