arguments: 31 22 4 0.388112 0.445455 0.0265734 -0.13986
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.08, -0.14, -0.14, -0.08, -0.14, -0.04, 0.05, 0.02, -0.14, -0.14, -0.14, -0.07, -0.14, -0.14, -0.07, -0.14, -0.07, -0.14, -0.14, -0.07, -0.14, -0.14, 
>  >  ^  <  <  <  r  r  v  r  v  l  l  r  r  r  v  l  l  l  l  l  R  R  R  ^  L  L  
R  R  ^  L  L  L  r  r  r  v  l  l  l  >  >  >  r  r  v  l  l  l  l  R  ^  ^  ^  L  
R  R  ^  L  l  l  >  r  r  v  l  l  l  l  R  R  ^  >  v  <  l  l  <  >  ^  <  ^  ^  
R  r  r  v  l  l  >  >  >  >  <  <  l  l  R  R  R  R  ^  L  l  l  L  R  ^  L  L  ^  
>  >  >  v  <  <  >  R  R  ^  r  v  l  l  <  R  R  R  >  L  <  <  <  L  R  ^  L  <  
R  R  R  ^  L  L  R  R  R  ^  >  v  <  <  <  R  R  R  R  ^  L  L  <  <  L  ^  ^  L  
R  R  R  ^  L  L  L  R  ^  R  R  ^  L  L  L  R  R  R  R  ^  L  L  L  L  L  L  ^  L  
R  R  R  R  ^  L  L  ^  R  R  R  ^  L  L  L  <  R  R  ^  R  ^  L  L  L  <  <  L  ^  
Correct actions (%) : 19.28
Avg angular diffs   : 73.19
